Sample	Days	Cell_type	Experiment
P11951_1333	D5?K5_12	D5	D5	Exp3
P11951_1334	D5?K5_11	D5	D5	Exp3
P11951_1335	D5?K5_10	D5	D5	Exp3
P11951_1336	D5?K5_9	D5	D5	Exp3
P11951_1337	UN	UN	UN	Exp3
P11951_1338	UN	UN	UN	Exp3
P11951_1339	UN	UN	UN	Exp3
P11951_1340	UN	UN	UN	Exp3
P11951_1341	UN	UN	UN	Exp3
P11951_1342	D7F2ICM_25	D7	ICM	Exp3
P11951_1343	D7F2ICM_26	D7	ICM	Exp3
P11951_1344	D7F2ICM_27	D7	ICM	Exp3
P11951_1345	UN	UN	UN	Exp3
P11951_1346	UN	UN	UN	Exp3
P11951_1347	UN	UN	UN	Exp3
P11951_1348	UN	UN	UN	Exp3
P11951_1349	UN	UN	UN	Exp3
P11951_1350	UN	UN	UN	Exp3
P11951_1351	UN	UN	UN	Exp3
P11951_1352	D7?	D7	UN	Exp3
P11951_1353	UN	UN	UN	Exp3
P11951_1354	UN	UN	UN	Exp3
P11951_1355	UN	UN	UN	Exp3
P11951_1358	UN	UN	UN	Exp3
P11951_1359	UN	UN	UN	Exp3
P11951_1360	UN	UN	UN	Exp3
P11951_1361	D7?ICM_25	D7	ICM	Exp3
P11951_1362	D7?ICM_24	D7	ICM	Exp3
P11951_1363	D7F1M_3	D7	TE	Exp3
P11951_1364	D7F1M_2	D7	TE	Exp3
P11951_1366	D7E2M_17	D7	TE	Exp3
P11951_1367	D7E2M_18	D7	TE	Exp3
P11951_1368	D7E2M_19	D7	TE	Exp3
P11951_1369	D7E3M_4	D7	TE	Exp3
P11951_1370	D7E3M_3	D7	TE	Exp3
P11951_1371	D7E3M_2	D7	TE	Exp3
P11951_1372	D7E3M_1	D7	TE	Exp3
P11951_1373	D7C1M_44	D7	TE	Exp3
P11951_1374	D7C1M_43	D7	TE	Exp3
P11951_1375	D7C1M_42	D7	TE	Exp3
P11951_1377	D7E3M_8	D7	TE	Exp3
P11951_1378	D7E3M_7	D7	TE	Exp3
P11951_1379	D7E3M_6	D7	TE	Exp3
P11951_1380	D7E3M_5	D7	TE	Exp3
P11951_1381	D7C1ICM_4	D7	ICM	Exp3
P11951_1383	D7C1ICM_2	D7	ICM	Exp3
P11951_1384	D7C1ICM_1	D7	ICM	Exp3
P11951_1385	D6A1_8	D6	D6	Exp3
P11951_1386	D6A1_7	D6	D6	Exp3
P11951_1387	D6A1_6	D6	D6	Exp3
P11951_1388	D6A1_5	D6	D6	Exp3
P11951_1389	D6A1_4	D6	D6	Exp3
P11951_1390	D6A1_3	D6	D6	Exp3
P11951_1391	D6A1_2	D6	D6	Exp3
P11951_1392	D6A1_1	D6	D6	Exp3
P11951_1393	D6A1_16	D6	D6	Exp3
P11951_1394	D6A1_15	D6	D6	Exp3
P11951_1395	D6A1_14	D6	D6	Exp3
P11951_1396	D6A1_13	D6	D6	Exp3
P11951_1397	D6A1_12	D6	D6	Exp3
P11951_1398	D6A1_11	D6	D6	Exp3
P11951_1399	D6A1_10	D6	D6	Exp3
P11951_1400	D6A1_9	D6	D6	Exp3
P11951_1401	D6G2_8	D6	D6	Exp3
